Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"final_project2.exe","18,461",0,100.00,0.00,"",
0,"[ntdll.dll]","18,461",0,100.00,0.00,"ntdll.dll",
1,"[kernel32.dll]","18,457",0,99.98,0.00,"kernel32.dll",
2,"[ntdll.dll]","18,035",0,97.69,0.00,"ntdll.dll",
3,"[ntdll.dll]","18,035",8,97.69,0.04,"ntdll.dll",
4,"[msvcp140.dll]","18,010",0,97.56,0.00,"msvcp140.dll",
5,"Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","18,010",0,97.56,0.00,"final_project2.exe",
6,"Concurrency::details::_TaskProcHandle::_RunChoreBridge","18,006",0,97.54,0.00,"final_project2.exe",
7,"Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","10,548",0,57.14,0.00,"final_project2.exe",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","10,546",0,57.13,0.00,"final_project2.exe",
9,"std::_Packaged_state<void __cdecl(void)>::_Call_immediate","10,546",0,57.13,0.00,"final_project2.exe",
10,"std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &>,void>::_Do_call","10,539",0,57.09,0.00,"final_project2.exe",
11,"_swaption_pay_off","10,539",2,57.09,0.01,"final_project2.exe",
12,"LIBOR_model::y","6,950",9,37.65,0.05,"final_project2.exe",
13,"OIS_model::_A_","6,925","6,917",37.51,37.47,"final_project2.exe",
14,"[ucrtbase.dll]",8,8,0.04,0.04,"ucrtbase.dll",
13,"rand_tools::rand01",13,13,0.07,0.07,"final_project2.exe",
13,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
12,"OIS_model::P","3,584",3,19.41,0.02,"final_project2.exe",
13,"OIS_model::_A_","3,581","3,581",19.40,19.40,"final_project2.exe",
12,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
10,"std::_Associated_state<int>::_Do_notify",5,0,0.03,0.00,"final_project2.exe",
11,"[msvcp140.dll]",5,1,0.03,0.01,"msvcp140.dll",
12,"[ntdll.dll]",4,0,0.02,0.00,"ntdll.dll",
13,"[ntdll.dll]",4,4,0.02,0.02,"ntdll.dll",
10,"[msvcp140.dll]",2,1,0.01,0.01,"msvcp140.dll",
11,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
12,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",1,0,0.01,0.00,"final_project2.exe",
9,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",1,0,0.01,0.00,"final_project2.exe",
9,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
7,"Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","7,279",0,39.43,0.00,"final_project2.exe",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","7,274",0,39.40,0.00,"final_project2.exe",
9,"std::_Packaged_state<void __cdecl(void)>::_Call_immediate","7,274",0,39.40,0.00,"final_project2.exe",
10,"std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &>,void>::_Do_call","7,270",0,39.38,0.00,"final_project2.exe",
11,"_dsc_op_pay_off","7,270",4,39.38,0.02,"final_project2.exe",
12,"OIS_model::P","3,675",2,19.91,0.01,"final_project2.exe",
13,"OIS_model::_A_","3,670","3,668",19.88,19.87,"final_project2.exe",
14,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
13,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
12,"LIBOR_model::y","3,577",2,19.38,0.01,"final_project2.exe",
13,"OIS_model::_A_","3,569","3,567",19.33,19.32,"final_project2.exe",
14,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
13,"rand_tools::rand01",4,4,0.02,0.02,"final_project2.exe",
13,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
12,"rand_tools::randn",11,6,0.06,0.03,"final_project2.exe",
13,"rand_tools::rand01",5,5,0.03,0.03,"final_project2.exe",
12,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
10,"std::_Associated_state<int>::_Do_notify",3,0,0.02,0.00,"final_project2.exe",
11,"[msvcp140.dll]",3,0,0.02,0.00,"msvcp140.dll",
12,"[ntdll.dll]",3,0,0.02,0.00,"ntdll.dll",
13,"[ntdll.dll]",3,3,0.02,0.02,"ntdll.dll",
10,"[msvcp140.dll]",1,1,0.01,0.01,"msvcp140.dll",
8,"Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",3,0,0.02,0.00,"final_project2.exe",
9,"[msvcp140.dll]",3,0,0.02,0.00,"msvcp140.dll",
10,"[ntdll.dll]",3,2,0.02,0.01,"ntdll.dll",
11,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",1,0,0.01,0.00,"final_project2.exe",
9,"std::_Func_impl_no_alloc<<lambda_713ee8bbd6b08550d59c52695cab5ce3>,void>::_Delete_this",1,1,0.01,0.01,"final_project2.exe",
8,"Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",1,0,0.01,0.00,"final_project2.exe",
9,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
7,"Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",179,0,0.97,0.00,"final_project2.exe",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call",175,0,0.95,0.00,"final_project2.exe",
9,"std::_Packaged_state<void __cdecl(void)>::_Call_immediate",175,0,0.95,0.00,"final_project2.exe",
10,"std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,double,double,double,unsigned int,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,double &,double &,double &,unsigned int &,double * &>,void>::_Do_call",173,0,0.94,0.00,"final_project2.exe",
11,"_one_sim",173,7,0.94,0.04,"final_project2.exe",
12,"rand_tools::randn",166,38,0.90,0.21,"final_project2.exe",
13,"rand_tools::rand01",124,124,0.67,0.67,"final_project2.exe",
13,"[ucrtbase.dll]",4,4,0.02,0.02,"ucrtbase.dll",
10,"std::_Associated_state<int>::_Do_notify",1,1,0.01,0.01,"final_project2.exe",
10,"[msvcp140.dll]",1,1,0.01,0.01,"msvcp140.dll",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",2,0,0.01,0.00,"final_project2.exe",
9,"[ucrtbase.dll]",2,0,0.01,0.00,"ucrtbase.dll",
10,"[ntdll.dll]",2,2,0.01,0.01,"ntdll.dll",
8,"Concurrency::_Init_func_transformer<void>::_Perform",1,0,0.01,0.00,"final_project2.exe",
9,"std::_Global_new<std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>,<lambda_052e919cc0e5399df76dff3972c0cac1> >",1,0,0.01,0.00,"final_project2.exe",
10,"operator new",1,0,0.01,0.00,"final_project2.exe",
11,"[ucrtbase.dll]",1,1,0.01,0.01,"ucrtbase.dll",
8,"Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",1,0,0.01,0.00,"final_project2.exe",
9,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"[msvcp140.dll]",3,1,0.02,0.01,"msvcp140.dll",
7,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
8,"[ntdll.dll]",2,1,0.01,0.01,"ntdll.dll",
9,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>::`scalar deleting destructor'",1,0,0.01,0.00,"final_project2.exe",
7,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
8,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
4,"[ntdll.dll]",17,6,0.09,0.03,"ntdll.dll",
5,"[ntdll.dll]",11,6,0.06,0.03,"ntdll.dll",
6,"[ntdll.dll]",5,4,0.03,0.02,"ntdll.dll",
7,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
2,"__scrt_common_main_seh",422,0,2.29,0.00,"final_project2.exe",
3,"main",421,0,2.28,0.00,"final_project2.exe",
4,"derivatives::cpu_swaption",235,0,1.27,0.00,"final_project2.exe",
5,"multi_map<double,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *>",198,0,1.07,0.00,"final_project2.exe",
6,"std::_State_manager<int>::wait_for<__int64,std::ratio<1,1000> >",147,1,0.80,0.01,"final_project2.exe",
7,"[msvcp140.dll]",146,1,0.79,0.01,"msvcp140.dll",
8,"[KernelBase.dll]",145,1,0.79,0.01,"KernelBase.dll",
9,"[ntdll.dll]",144,125,0.78,0.68,"ntdll.dll",
10,"[ntdll.dll]",19,18,0.10,0.10,"ntdll.dll",
11,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"std::_Task_async_state<void>::`scalar deleting destructor'",42,0,0.23,0.00,"final_project2.exe",
7,"Concurrency::details::_Task_impl_base::_Wait",42,0,0.23,0.00,"final_project2.exe",
8,"[msvcp140.dll]",42,0,0.23,0.00,"msvcp140.dll",
9,"[KernelBase.dll]",42,0,0.23,0.00,"KernelBase.dll",
10,"[ntdll.dll]",42,19,0.23,0.10,"ntdll.dll",
11,"[ntdll.dll]",23,21,0.12,0.11,"ntdll.dll",
12,"[ntdll.dll]",2,2,0.01,0.01,"ntdll.dll",
6,"std::async<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &>",9,0,0.05,0.00,"final_project2.exe",
7,"std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &> >",9,0,0.05,0.00,"final_project2.exe",
8,"Concurrency::create_task<<lambda_550df6c48817ce6ec49393f9f99350ae> >",9,0,0.05,0.00,"final_project2.exe",
9,"Concurrency::task<void>::task<void><<lambda_550df6c48817ce6ec49393f9f99350ae> >",9,1,0.05,0.01,"final_project2.exe",
10,"Concurrency::details::_Task_impl_base::_ScheduleTask",4,0,0.02,0.00,"final_project2.exe",
11,"Concurrency::details::_DefaultPPLTaskScheduler::schedule",4,0,0.02,0.00,"final_project2.exe",
12,"operator new",2,1,0.01,0.01,"final_project2.exe",
13,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
14,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
12,"[msvcp140.dll]",2,0,0.01,0.00,"msvcp140.dll",
13,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
14,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
17,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
18,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
13,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
10,"Concurrency::task<unsigned char>::_CreateImpl",2,1,0.01,0.01,"final_project2.exe",
11,"operator new",1,0,0.01,0.00,"final_project2.exe",
12,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
13,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
14,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
10,"[msvcp140.dll]",1,1,0.01,0.01,"msvcp140.dll",
10,"std::vector<void *,std::allocator<void *> >::vector<void *,std::allocator<void *> >",1,1,0.01,0.01,"final_project2.exe",
5,"multi_map<double,unsigned int,double *,double *,double,double,double,unsigned int,double *>",34,0,0.18,0.00,"final_project2.exe",
6,"std::_State_manager<int>::wait_for<__int64,std::ratio<1,1000> >",29,0,0.16,0.00,"final_project2.exe",
7,"[msvcp140.dll]",29,0,0.16,0.00,"msvcp140.dll",
8,"[KernelBase.dll]",29,0,0.16,0.00,"KernelBase.dll",
9,"[ntdll.dll]",29,28,0.16,0.15,"ntdll.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"std::async<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,double,double,double,unsigned int,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,double &,double &,double &,unsigned int &,double * &>",3,0,0.02,0.00,"final_project2.exe",
7,"std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,double,double,double,unsigned int,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,double &,double &,double &,unsigned int &,double * &> >",3,0,0.02,0.00,"final_project2.exe",
8,"Concurrency::create_task<<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",3,0,0.02,0.00,"final_project2.exe",
9,"Concurrency::task<void>::task<void><<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",3,0,0.02,0.00,"final_project2.exe",
10,"Concurrency::task<unsigned char>::_CreateImpl",1,0,0.01,0.00,"final_project2.exe",
11,"Concurrency::details::_Task_impl_base::_Task_impl_base",1,0,0.01,0.00,"final_project2.exe",
12,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
10,"Concurrency::details::_Task_impl_base::_ScheduleTask",1,0,0.01,0.00,"final_project2.exe",
11,"Concurrency::details::_DefaultPPLTaskScheduler::schedule",1,0,0.01,0.00,"final_project2.exe",
12,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
13,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
14,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
17,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
18,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
10,"operator new",1,0,0.01,0.00,"final_project2.exe",
11,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
12,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
13,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"std::_Task_async_state<void>::`scalar deleting destructor'",2,0,0.01,0.00,"final_project2.exe",
7,"std::_Ref_count_obj<Concurrency::details::_Task_impl<unsigned char> >::`scalar deleting destructor'",1,0,0.01,0.00,"final_project2.exe",
8,"[ucrtbase.dll]",1,1,0.01,0.01,"ucrtbase.dll",
7,"Concurrency::details::_Task_impl_base::_Wait",1,0,0.01,0.00,"final_project2.exe",
8,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
9,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
5,"rand_tools::rand01_skip_ahead",3,0,0.02,0.00,"final_project2.exe",
6,"arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",2,0,0.01,0.00,"final_project2.exe",
7,"__sse2_pow2",2,0,0.01,0.00,"final_project2.exe",
8,"pow_scalar",2,2,0.01,0.01,"final_project2.exe",
6,"arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,"final_project2.exe",
7,"arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,0,0.01,0.00,"final_project2.exe",
8,"arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >",1,1,0.01,0.01,"final_project2.exe",
4,"derivatives::cpu_cap_floor",186,0,1.01,0.00,"final_project2.exe",
5,"multi_map<double,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *>",182,1,0.99,0.01,"final_project2.exe",
6,"std::_State_manager<int>::wait_for<__int64,std::ratio<1,1000> >",144,0,0.78,0.00,"final_project2.exe",
7,"[msvcp140.dll]",144,0,0.78,0.00,"msvcp140.dll",
8,"[KernelBase.dll]",143,0,0.77,0.00,"KernelBase.dll",
9,"[ntdll.dll]",143,115,0.77,0.62,"ntdll.dll",
10,"[ntdll.dll]",28,24,0.15,0.13,"ntdll.dll",
11,"[ntdll.dll]",4,4,0.02,0.02,"ntdll.dll",
8,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"std::_Task_async_state<void>::`scalar deleting destructor'",29,0,0.16,0.00,"final_project2.exe",
7,"Concurrency::details::_Task_impl_base::_Wait",27,0,0.15,0.00,"final_project2.exe",
8,"[msvcp140.dll]",27,0,0.15,0.00,"msvcp140.dll",
9,"[KernelBase.dll]",27,0,0.15,0.00,"KernelBase.dll",
10,"[ntdll.dll]",27,11,0.15,0.06,"ntdll.dll",
11,"[ntdll.dll]",16,13,0.09,0.07,"ntdll.dll",
12,"[ntdll.dll]",3,3,0.02,0.02,"ntdll.dll",
7,"std::_Ref_count_obj<Concurrency::details::_Task_impl<unsigned char> >::`scalar deleting destructor'",2,0,0.01,0.00,"final_project2.exe",
8,"[ucrtbase.dll]",2,1,0.01,0.01,"ucrtbase.dll",
9,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
6,"std::async<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &>",8,0,0.04,0.00,"final_project2.exe",
7,"std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &> >",8,0,0.04,0.00,"final_project2.exe",
8,"Concurrency::create_task<<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >",4,0,0.02,0.00,"final_project2.exe",
9,"Concurrency::task<void>::task<void><<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >",4,0,0.02,0.00,"final_project2.exe",
10,"Concurrency::details::_Task_impl_base::_ScheduleTask",3,0,0.02,0.00,"final_project2.exe",
11,"Concurrency::details::_DefaultPPLTaskScheduler::schedule",3,0,0.02,0.00,"final_project2.exe",
12,"[msvcp140.dll]",3,0,0.02,0.00,"msvcp140.dll",
13,"[KernelBase.dll]",2,0,0.01,0.00,"KernelBase.dll",
14,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",2,1,0.01,0.01,"ntdll.dll",
17,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
13,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
14,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
10,"operator new",1,0,0.01,0.00,"final_project2.exe",
11,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
12,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
13,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"std::_Global_new<std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &>,void>,std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &> >",3,0,0.02,0.00,"final_project2.exe",
9,"operator new",3,0,0.02,0.00,"final_project2.exe",
10,"[ucrtbase.dll]",3,0,0.02,0.00,"ucrtbase.dll",
11,"[ntdll.dll]",3,2,0.02,0.01,"ntdll.dll",
12,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"Concurrency::task_options::task_options",1,0,0.01,0.00,"final_project2.exe",
9,"[msvcp140.dll]",1,1,0.01,0.01,"msvcp140.dll",
5,"rand_tools::rand01_skip_ahead",4,0,0.02,0.00,"final_project2.exe",
6,"arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",4,0,0.02,0.00,"final_project2.exe",
7,"__sse2_pow2",4,1,0.02,0.01,"final_project2.exe",
8,"pow_scalar",3,3,0.02,0.02,"final_project2.exe",
3,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
4,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
5,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
6,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
7,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
8,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
9,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
10,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
11,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
12,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
13,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
14,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
17,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
1,"[ntdll.dll]",4,0,0.02,0.00,"ntdll.dll",
2,"[ntdll.dll]",4,0,0.02,0.00,"ntdll.dll",
3,"[ntdll.dll]",4,0,0.02,0.00,"ntdll.dll",
4,"[ntdll.dll]",4,1,0.02,0.01,"ntdll.dll",
5,"[ntdll.dll]",3,1,0.02,0.01,"ntdll.dll",
6,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
7,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
8,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
9,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
10,"[ntdll.dll]",2,0,0.01,0.00,"ntdll.dll",
11,"[ntdll.dll]",2,1,0.01,0.01,"ntdll.dll",
12,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
13,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
14,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
