Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[win32u.dll]","9,996","9,995",75.72,75.71,
"[jscript9.dll]","1,506","1,091",11.41,8.26,
"[nvcuda.dll]","10,506",480,79.58,3.64,
"[ntdll.dll]","2,065",401,15.64,3.04,
"[mshtml.dll]","1,317",196,9.98,1.48,
"[nvapi64.dll]",207,178,1.57,1.35,
"[win32u.dll]",441,161,3.34,1.22,
"[msvcrt.dll]",538,86,4.08,0.65,
"[igc32.dll]",80,63,0.61,0.48,
"[user32.dll]",52,52,0.39,0.39,
"[ntdll.dll]","10,540",46,79.84,0.35,
"[d3d10warp.dll]",57,35,0.43,0.27,
"[ntdll.dll]",35,34,0.27,0.26,
"[d3d9.dll]",31,31,0.23,0.23,
"[d3d11.dll]",29,29,0.22,0.22,
"[d3d11.dll]",26,25,0.20,0.19,
"[ntdll.dll]",35,23,0.27,0.17,
"[KernelBase.dll]",290,22,2.20,0.17,
"[imagehlp.dll]",19,19,0.14,0.14,
"[KernelBase.dll]",30,18,0.23,0.14,
"[oleaut32.dll]",23,17,0.17,0.13,
"[kernel32.dll]","2,034",12,15.41,0.09,
"[ScriptedSandbox64.exe]","1,484",12,11.24,0.09,
"[d2d1.dll]",46,11,0.35,0.08,
"[igd10iumd64.dll]",36,9,0.27,0.07,
"[ntdll.dll]",8,8,0.06,0.06,
"[iertutil.dll]",43,7,0.33,0.05,
"[igdumdim32.dll]",122,7,0.92,0.05,
"[nvwgf2umx_cfg.dll]",42,7,0.32,0.05,
"[KernelBase.dll]",6,6,0.05,0.05,
"[d3d11.dll]",41,5,0.31,0.04,
"[dwmapi.dll]",5,5,0.04,0.04,
"[Newtonsoft.Json.ni.dll]",8,5,0.06,0.04,
"[user32.dll]","1,408",5,10.67,0.04,
"[user32.dll]",5,5,0.04,0.04,
"[KernelBase.dll]",4,4,0.03,0.03,
"[ntdll.dll]",4,4,0.03,0.03,
"[ServiceHub.Host.Node.x86.exe]",4,4,0.03,0.03,
"[ucrtbase.dll]",5,4,0.04,0.03,
"pow_scalar",4,4,0.03,0.03,
"[combase.dll]",32,3,0.24,0.02,
"[Dptf.dll]",9,3,0.07,0.02,
"[ieframe.dll]",157,3,1.19,0.02,
"[KernelBase.dll]",7,3,0.05,0.02,
"[ntdll.dll]",7,3,0.05,0.02,
"[nvapi64.dll]",17,3,0.13,0.02,
"[Qt5CoreNvda.dll]",12,3,0.09,0.02,
"[uxtheme.dll]",15,3,0.11,0.02,
"[kernel32.dll]",2,2,0.02,0.02,
"[mscorlib.ni.dll]",2,2,0.02,0.02,
"[urlmon.dll]",89,2,0.67,0.02,
"[windows.storage.dll]",28,2,0.21,0.02,
"arma::Col<int>::Col<int>",3,2,0.02,0.02,
"[bcrypt.dll]",1,1,0.01,0.01,
"[clr.dll]",1,1,0.01,0.01,
"[cmd.exe]",2,1,0.02,0.01,
"[combase.dll]",1,1,0.01,0.01,
"[devenv.exe]",1,1,0.01,0.01,
"[DWrite.dll]",1,1,0.01,0.01,
"[dxgi.dll]",13,1,0.10,0.01,
"[gdi32.dll]",21,1,0.16,0.01,
"[gdi32full.dll]",1,1,0.01,0.01,
"[ig9icd32.dll]",67,1,0.51,0.01,
"[igc64.dll]",4,1,0.03,0.01,
"[igd10iumd64.dll]",12,1,0.09,0.01,
"[kernel32.dll]","10,537",1,79.82,0.01,
"[KernelBase.dll]",1,1,0.01,0.01,
"[KernelBase.dll]",1,1,0.01,0.01,
"[netutils.dll]",1,1,0.01,0.01,
"[ntdll.dll]",1,1,0.01,0.01,
"[ntdll.dll]",1,1,0.01,0.01,
"[ntdll.dll]",1,1,0.01,0.01,
"[nvapi64.dll]",6,1,0.05,0.01,
"[nvapi64.dll]",1,1,0.01,0.01,
"[NvBackend64.dll]",226,1,1.71,0.01,
"[NvCameraWhitelisting64.dll]",2,1,0.02,0.01,
"[NvCameraWhitelisting64.dll]",1,1,0.01,0.01,
"[Nvda.UnifiedDebugger.Package.dll]",1,1,0.01,0.01,
"[Ontology64.dll]",2,1,0.02,0.01,
"[perf_gputiming.dll]",1,1,0.01,0.01,
"[Qt5GuiNvda.dll]",1,1,0.01,0.01,
"[rpcrt4.dll]",6,1,0.05,0.01,
"[shlwapi.dll]",1,1,0.01,0.01,
"[ucrtbase.dll]",5,1,0.04,0.01,
"[ucrtbase.dll]",1,1,0.01,0.01,
"[wevtapi.dll]",1,1,0.01,0.01,
"[windows.storage.dll]",1,1,0.01,0.01,
"[wow64cpu.dll]",1,1,0.01,0.01,
"arma::arrayops::copy<int>",1,1,0.01,0.01,
"arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >",1,1,0.01,0.01,
"arma::Mat<int>::zeros",1,1,0.01,0.01,
"cudaMemcpy",441,1,3.34,0.01,
"cudart::doLazyInitContextState",74,1,0.56,0.01,
"cudart::driverHelper::memcpyDispatch",439,1,3.33,0.01,
"[_IdentityPlugin.dll]",2,0,0.02,0.00,
"[_ShieldWirelessControllerPlugin.dll]",2,0,0.02,0.00,
"[apphelp.dll]",1,0,0.01,0.00,
"[atlthunk.dll]",77,0,0.58,0.00,
"[bcrypt.dll]",2,0,0.02,0.00,
"[bcryptprimitives.dll]",1,0,0.01,0.00,
"[cfgmgr32.dll]",1,0,0.01,0.00,
"[comctl32.dll]",1,0,0.01,0.00,
"[crypt32.dll]",1,0,0.01,0.00,
"[crypt32.dll]",29,0,0.22,0.00,
"[d3d11.dll]",1,0,0.01,0.00,
"[DataExchange.dll]",3,0,0.02,0.00,
"[devobj.dll]",1,0,0.01,0.00,
"[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"[dwmapi.dll]",1,0,0.01,0.00,
"[dxgi.dll]",1,0,0.01,0.00,
"[esif_umdf2.dll]",6,0,0.05,0.00,
"[gdi32.dll]",9,0,0.07,0.00,
"[gdi32full.dll]",5,0,0.04,0.00,
"[igd10iumd64.dll]",2,0,0.02,0.00,
"[imm32.dll]",1,0,0.01,0.00,
"[kernel32.dll]",3,0,0.02,0.00,
"[KernelBase.dll]",2,0,0.02,0.00,
"[KernelBase.dll]",31,0,0.23,0.00,
"[msasn1.dll]",2,0,0.02,0.00,
"[msctf.dll]",1,0,0.01,0.00,
"[msls31.dll]",15,0,0.11,0.00,
"[msvcp_win.dll]",1,0,0.01,0.00,
"[msvcp140.dll]",1,0,0.01,0.00,
"[msvcrt.dll]",1,0,0.01,0.00,
"[nvapi64.dll]",1,0,0.01,0.00,
"[nvapi64.dll]",1,0,0.01,0.00,
"[nvdlistx.dll]",6,0,0.05,0.00,
"[nvldumdx.dll]",49,0,0.37,0.00,
"[nvldumdx.dll]",1,0,0.01,0.00,
"[nvspcap64.dll]",1,0,0.01,0.00,
"[NvTelemetry64.dll]",1,0,0.01,0.00,
"[nvwgf2umx_cfg.dll]",3,0,0.02,0.00,
"[ole32.dll]",7,0,0.05,0.00,
"[poco.dll]",4,0,0.03,0.00,
"[profapi.dll]",1,0,0.01,0.00,
"[propsys.dll]",2,0,0.02,0.00,
"[ResourcePolicyClient.dll]",1,0,0.01,0.00,
"[sechost.dll]",1,0,0.01,0.00,
"[sechost.dll]",1,0,0.01,0.00,
"[setupapi.dll]",3,0,0.02,0.00,
"[SHCore.dll]",8,0,0.06,0.00,
"[shell32.dll]",23,0,0.17,0.00,
"[shlwapi.dll]",4,0,0.03,0.00,
"[sspicli.dll]",1,0,0.01,0.00,
"[twinapi.appcore.dll]",3,0,0.02,0.00,
"[user32.dll]",5,0,0.04,0.00,
"[userenv.dll]",1,0,0.01,0.00,
"[valWBFPolicyService.exe]",1,0,0.01,0.00,
"[vcruntime140.dll]",1,0,0.01,0.00,
"[vcsAPIFORWBF.dll]",1,0,0.01,0.00,
"[windows.storage.dll]",2,0,0.02,0.00,
"[WindowsCodecs.dll]",1,0,0.01,0.00,
"[wininet.dll]",4,0,0.03,0.00,
"[winmmbase.dll]",1,0,0.01,0.00,
"[wintrust.dll]",19,0,0.14,0.00,
"[wow64.dll]",3,0,0.02,0.00,
"[wow64cpu.dll]",3,0,0.02,0.00,
"__scrt_common_main_seh","10,527",0,79.74,0.00,
"__sse2_pow2",4,0,0.03,0.00,
"`anonymous namespace'::etiGetApiFunctionDescriptorTable",8,0,0.06,0.00,
"arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",4,0,0.03,0.00,
"arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,0,0.01,0.00,
"arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,
"cudaDeviceReset",22,0,0.17,0.00,
"cudaDeviceSynchronize","9,944",0,75.33,0.00,
"cudaFree",1,0,0.01,0.00,
"cudaMalloc",75,0,0.57,0.00,
"cudart::__loadDriverInternalUtil",34,0,0.26,0.00,
"cudart::contextState::applyChanges",2,0,0.02,0.00,
"cudart::contextState::loadCubin",2,0,0.02,0.00,
"cudart::contextStateManager::getRuntimeContextState",73,0,0.55,0.00,
"cudart::contextStateManager::initDriverContext",71,0,0.54,0.00,
"cudart::contextStateManager::initPrimaryContext",71,0,0.54,0.00,
"cudart::contextStateManager::initRuntimeContextState_nonreentrant",2,0,0.02,0.00,
"cudart::cudaApiDeviceReset",22,0,0.17,0.00,
"cudart::cudaApiDeviceSynchronize","9,944",0,75.33,0.00,
"cudart::cudaApiFree",1,0,0.01,0.00,
"cudart::cudaApiMalloc",75,0,0.57,0.00,
"cudart::cudaApiMemcpy",440,0,3.33,0.00,
"cudart::cuosOnce",34,0,0.26,0.00,
"cudart::device::resetPrimaryContext",22,0,0.17,0.00,
"cudart::driverHelper::mallocPtr",2,0,0.02,0.00,
"cudart::globalModule::loadIntoContext",2,0,0.02,0.00,
"cudart::globalState::initializeDriver",34,0,0.26,0.00,
"cudart::globalState::loadDriver",34,0,0.26,0.00,
"cudart::globalState::loadDriverInternal",34,0,0.26,0.00,
"cudaSetDevice",34,0,0.26,0.00,
"derivatives::cuda_cap_floor","1,673",0,12.67,0.00,
"derivatives::cuda_swaption","8,853",0,67.06,0.00,
"main","10,526",0,79.74,0.00,
"nvDetectDisplayDriverModuleLocationW",7,0,0.05,0.00,
"nvDetectDisplayDriverModuleRegistrationW",7,0,0.05,0.00,
"nvGetDriverRegkeyW",5,0,0.04,0.00,
"nvLoadLibraryFromTrustedLocationExW",5,0,0.04,0.00,
"nvLoadSystemLibraryExA",13,0,0.10,0.00,
"nvLoadSystemLibraryExW",13,0,0.10,0.00,
"rand_tools::rand01_skip_ahead",9,0,0.07,0.00,
